pleonastic	using an excessive number of words; especially using different words having the same meaning
pleonexia	excessive covetousness, avarice, or greed
pluvial	of or relating to rain; rainy
pococurante	a careless or indifferent person
pogonotomy	the cutting of beards
pogonotrophy	beard growing
poignant	sharp, incisive, astute
poindexter	intelligent person; nerd
polemic	controversial argument
poltroon	coward
polymath	a person of varied learning
porte-cochere	extended roof for car or horse
posset	sweet spiced hot milk curdled with ale or beer
pother	a confused or fidgety flurry of activity; commotion
praxis	practice and practical side of a profession or field of study, as opposed to the theory
prede	loot; plunder
preferments	promotion or appointment to a position or office
prelapsarian	characteristic of the time before the Fall of Man; innocent and unspoiled
preterite	past; time past; tense of verbs used to relate past action
priapism	an abnormal often painful persistent erection of the penis
priapus	representation of a phallus; Greek god of procreative power
probity	adherence to the highest principles and ideals; upright
procellous	stormy, as the sea
procrustean	producing or designed to produce strict conformity by ruthless or arbitrary means
prodigal	rashly or wastefully extravagant
profligate	debauched; wildly wasteful
prolegomenon	a preliminary or introductory commentary, esp. a scholarly preface or introduction to a book
prolepsis	anticipating an opponent’s argument and answering it before it can be made
prolix	wordy
propinquity	proximity; nearness; kinship
propitious	giving or indicating a good chance of success; favorable
proscenium	area in front of the curtain on a stage
proselytizing	attempt to convert
protean	displaying great diversity or variety; versatile
protracted	lasting for a long/longer time
provender	food; victuals
provisional	existing for the present, possibly to be changed later
prudent	acting with and showing care for the future
prurient	marked by or arousing an immoderate or unwholesome interest or desire
psephology	the statistical study of elections and trends in voting
psithurism	the sound of wind through trees
psychopomp	(in Greek mythology) a guide of souls to the place of the dead
puerile	juvenile, immature
pule	whine or whimper
pullulate	to breed, produce, or create rapidly
punctilious	showing great attention to detail or correct behavior
purlicue	the space between your thumb and forefinger
purlieu	place frequented
purloin	steal
pushke	(Jewish) a container kept in the home, used for collecting money that the family will use to donate to charity
pusillanimous	cowardly; timid
putative	commonly accepted or supposed
putrescent	becoming rotten
putsch	a violent attempt to overthrow a government
pyrolatrous	worship of fire
pyrrhic	successful with heavy losses
qua	in the character or role of
quaquaversal	directed outwards in all directions from a common center
quean	a disreputable woman; a prostitute
querencia	a place where one feels safe, a place from which one's strength of character is drawn, a place where one feels at home
quidam	an unknown or unspecified individual; somebody; (also) a person of no consequence, a nobody.
quiddity	the quality that makes a thing what it is; trifling nicety of subtle distinction
quidnunc	a nosy person; a busybody
quiescence	being quiet, still, or at rest; inactive
quiescent	quiet, still, or inactive
quietus	death; a finishing stroke (that causes finality or death)
quintessential	most essential
quisquilian	worthless; having the nature of refuse or rubbish
quixotic	impulsive and unpredictable
quodlibet	a philosophical or theological point proposed for disputation
quondam	former; once
quotidian	common
raillery	good-natured ridicule; banter
ramify	to split up into branches or constituent parts
ramose	consisting of or having branches
rancor	vindictive malice
rathe	early; (of a person or their actions) prompt and eager
rathskeller	a usually basement tavern or restaurant
ratiocination	the process of exact thinking; a reasoned train of thought
rebarbative	unattractive and objectionable; irritating
recherche	rare, exotic, or obscure
recondite	hard to understand; profound; obscure; concealed
reconnoiter	to make a reconnaissance of
recrudesce	to break out again or renew activity (as disease or trouble)
rectilinear	contained by, consisting of, or moving in a straight line or lines
rectitude	morally correct behavior or thinking; righteousness
recto	a right-hand page of an open book
recusant	a person who refuses to submit to an authority or to comply with a regulation
redamancy	act of loving in return
rede	(n) council or advice; (v) to advise or explain
redolent	smelling of
refection	nourishment or food and drink
refulgence	a radiant or resplendent quality or state; brilliance
regnant	reigning, widespread
repine	to be fretfully discontented; fret; complain
resipiscent	having returned to a saner mind
resplendent	shining
reticent	not revealing one's thoughts or feelings readily
reticulate	divide or mark (something) in such a way as to resemble a net or network
retromingent	urinating backward because of bodily configuration
retronym	a term consisting of a noun and a modifier which specifies the original meaning of the noun (e.g. analog watch)
revenant	a person who returns, especially as a spirit after death; ghost.
rhadamanthine	showing stern and inflexible judgment
riant	cheerful
rimose	full of cracks, crevices, or chinks
riparian	of, inhabiting, or situated on the bank of a river
risible	rousing or provoking laughter
riven	to split or tear apart violently
rodomontade	vain and empty boasting; bluster
roscian	of, relating to, or skilled in acting
roseate	pinkish
roue	dissolute man (especially an older man); rake
rounceval	huge, large; a big loud woman
rowel	revolving spiked wheel on a spur; to vex or trouble
rubicund	having a ruddy complexion; high-colored
rufous	reddish
ruritanian	of, relating to, or having the characteristics of an imaginary place of high romance
réchauffé	a dish of warmed-up food left over from a previous meal; leftovers
saccade	check of a horse by a quick tug
saccharine	overly or sickly sweet
sacerdotal	of or relating to priests or a priesthood
sacque	variant of sack
salubrious	health-giving; healthy
sangfroid	cool self possession or composure
sanguine	cheerful, confident
sapid	having a pleasant taste; agreeable or engaging
saponaceous	resembling or having the qualities of soap
sapro	dead; decaying
sardonic	disdainfully or skeptically humorous; derisively mocking
satori	sudden enlightenment and a state of consciousness attained by intuitive illumination representing the spiritual goal of Zen Buddhism
satrap	a subordinate bureaucrat or official
saturnine	(of a person or their manner) slow and gloomy
saudade	a deep emotional state of melancholic longing for a person or thing that is absent (and always will be)
scabrous	rough to the touch
scintilla	a spark or very small thing
sciolism	a superficial knowledge; dealing with suggestive, indecent, or scandalous themes
scotophobia	fear of darkness
scree	a mass of small loose stones that form or cover a slope on a mountain
screed	a long tiresome writing
scud	to run or skim along swiftly and easily:
scurrilous	grossly offensive and vulgar
secateurs	pruning shears
sedulous	diligent in application or attention
sempiternal	enduring forever; eternal
senescent	old
seneschal	the steward or major-domo of a medieval great house
sententious	pithy; terse
septentrional	northern
sepulcher	place of burial
sequacious	intellectually servile
serein	light rain from a clear sky
serendipity	the occurrence and development of events by chance in a happy or beneficial way
sesquipedalian	a long word
sexton	employee or officer of a church who is responsible for the care and upkeep of church property and sometimes for ringing bells and digging graves
shako	stiff military hat with a high crown and plume
shandrydan	a rickety vehicle; a chaise with a hood
shivaree	a noisy mock serenade to a newly married couple
shrive	to free from guilt
siderate	to blast or strike down (as with lightning)
sidereal	of, relating to, or expressed in relation to stars or constellations; astral
sillage	scent that lingers in the air
sinecure	a job or position in which someone is paid to do little or no work
skein	long piece of yarn or thread that is loosely wound
snekhinah	dwelling or settling of the divine presence of God
sobriquet	a person's nickname
sockdolager	something that settles a matter :  a decisive blow or answer
soi-disant	self-proclaimed, so-called
soigné	well groomed; sleek
solecism	an ungrammatical combination of words
soliloquy	talking to oneself
solipsism	(philosophy) the theory that only the self exists, or can be proved to exist; egoistic self-absorption
solivagant	wandering alone
somnolent	drowsy, sleep-inducing
sordor	wretchedness or squalor; sordidness
sororal	of, relating to, or characteristic of a sister
sparge	spray or sprinkle
spavined	marked by damage, deterioration, or ruin; afflicted with spavin (horses)
specious	appearing to be right, deceptively good-looking
splanchnic	of or relating to the viscera or entrails; visceral
splenetic	marked by bad temper, malevolence, or spite
spoonerism	a transposition of usually initial sounds of two or more words
spurious	not true
steatopygia	an excessive development of fat on the buttocks
stentorian	(of a person's voice) loud and powerful
sternutation	sneezing
stive	crowd (int verb); dust (noun)
stolid	impassive
stopgap	a temporary way of dealing with a problem or satisfying a need
stoven	broken in; smashed
stravage	to wander aimlessly
struthious	of or relating to the ostriches
stygian	extremely dark, gloomy, or forbidding
subeth	abnormal, esp. excessively deep, sleep
submontane	ath the base of a mountain
suborn	to induce secretly to do an unlawful thing
subsidiary	less important than but related or supplementary to
sudatory	of or related to sweat
sudoriferous	producing or conveying sweat
suffuse	to spread over or through in the manner of fluid or light
supernal	of or from the world of the divine; celestial
supine	failing to act or protest as a result of moral weakness or indolence
surbated	to sore/bruise feet
surfeit	an excessive amount of something
surreptitious	secretive, sneaky
susurrus	a whispering; a murmur
sutra	one of the discourses of the Buddha that constitute the basic text of Buddhist scripture
swivet	a state of extreme agitation
sybarite	a person who is self-indulgent in their fondness for sensuous luxury
sybylline	prophetic
sycophant	a person who compliments to gain advantage
syllepsis	the use of a word to modify or govern syntactically two or more words with only one of which it formally agrees in gender, number, or case
sylph	an imaginary spirit of the air
tacit	expressed or understood without being directly stated; unstated
taciturn	tending to be quiet; not speaking frequently
talion	the principle that punishment should be equivalent or identical to the offense committed
taphephobia	fear of the grave
tartle	the act of hesitating while introducing someone because you've forgotten their name
tatterdemalion	ragamuffin
tawdry	of little value; gaudy
telamon	sculpted male figure serving as an architectural support
telluric	of or relating to the earth; terrestrial
temerity	excessive boldness or rashness; foolhardiness or recklessness
tenebrous	gloomy
teosophy	teaching about God and the world based on mystical insight
tergiversate	apostate; abandon
thanatomania	obsession with death
thangkas	(Bud.) religious painting on scroll
thenar	the fleshy area of the palm at the base of the thumb
theophany	a manifestation or appearance of God or a god to a person
thewless	cowardly; timid
thrasonical	boastful; vainglorious
timorous	full of fear; fearful
tocsin	alarm bell
tonneau	a rear seating compartment of an automobile; a cover of a pickup truck's bed
tonsure	shaved head
tophet	a term for hell
topos	a traditional theme or formula in literature; trope
tourbillion	whirlwind
toxophilite	an archer; of or related to archery
traduce	to speak maliciously and falsely of; slander; defame
tralatitious	traditional; transmitted; handed on; metaphorical
trammel	something impeding activity, progress, or freedom
tramontane	of, pertaining to, or coming from the other side of the mountains; foreign
transom	a strengthening crossbar, in particular one set above a window or door; short for a transom window above the crossbar
transpontine	on or from the far side of a bridge
transude	(with reference to a fluid) discharge or be discharged gradually through pores in a membrane, especially within the body
travail	painfully difficult or burdensome work; toil
treacle	saccarine; overly sweet
trenchant	keen, sharp; vigorously effective and articulate
trichotillomania	an abnormal desire to pull out one's hair
trope	commonly recurring literary and rhetorical devices, motifs or clichés in creative works
trousseau	the clothes, household linen, and other belongings collected by a bride for her marriage
truculent	scathingly harsh; aggressively self-assertive
truncate	to shorten
tulpa	a thought in physical form
tumbril	two-wheeled cart, especially a farmer's cart that can be tilted to dump a load
turbid	confused or obscure in meaning or effect; cloudy or muddy
turgid	swollen or distended; bombastic or overblown
turophile	a connoisseur or lover of cheese
turpitude	depravity
twee	silly
twire	to glance shyly or slyly; twinkle; twirl
ubiquitous	present or existing everywhere
ullage	the volume by which a liquid container falls short of being full
ultracrepidarian	a person who criticizes, judges, or gives advice outside the area of his or her expertise
unctuous	smug
vagary	an irregular course or distribution
vagitus	a cry or wail; spec. that of a new-born child
valetudinarian	chronically ailing; sickly
vanguard	leading part of a formation
vatic	prophetic, oracular
vaticinate	prophesy
vedette	a scout; a leading star of stage, screen, or television
velleity	a slight wish or tendency
vellicate	stroke the skin enough to irritate, tickle
venal	capable of being bought or obtained for money or other valuable consideration
vendue	a public sale at auction
veracious 	honest; truthful
veracity	truthfulness
verbigerate	to speak, to talk
verdigris	green or blue-green pigment from the action of acetic acid on copper
verisimilitude	appearance of truth
vernissage	a private showing held before the opening of an art exhibition
versicolor	iridescent
verso	a left-hand page (opposite of recto)
vestigial	in trace amounts
viand	an item of food; especially :  a choice or tasty dish
vibrissae	sensitive whiskers of some mammals
vicissitude	a change or variation occurring in the course of something
vilify	to speak poorly of
virgule	a short oblique stroke (/) between two words indicating that whichever is appropriate may be chosen
vitiate	to make faulty or defective; to debase in moral or aesthetic status
vitreous	of or related to glass
volant	engaged in or having the power of flight; nimble
volitant	able to fly or flying
voracity	greed
vulnerary	useful in healing wounds; having curative properties in respect of external injuries
waggish	playfully mischievous; wanton, loose
welter	confused mess
wen	harmless cyst, especially on the scalp or face
whilom	formerly; in the past; once
williwaw	squall
withy	made of or as flexible as withes (tough supple twigs)
wonted	accustomed; usual
ylem	primordial matter of the universe
zabernism	misuse of military power; aggression; bullying
zelig	a chameleon-like person who is unusually ubiquitous
zenith	the highest point
zucchetto	Roman Catholic skullcap
zugzwang	the necessity of moving in chess when it is to one's disadvantage
